StyleCode,ColorCode,Name,Price,Size,ColorThumb,Image1,Image2,Image3,Image4,Description
MAA-APPLIC,MAA-APPLIC-BLU,Rajbari Royale Punjabi - Blue,1999,M/L/XL/XXL,blue.jpeg,maa-applic-blue1.jpeg,,,,Elegant blue Punjabi with intricate appliqué work.
MAA-APPLIC,MAA-APPLIC-PNK,Rajbari Royale Punjabi - Pink,1999,M/L/XL/XXL,pink.jpeg,maa-applic-pink1.jpeg,,,,Elegant pink Punjabi with intricate appliqué work.
MAA-APPLIC,MAA-APPLIC-GRN,Rajbari Royale Punjabi - Green,1999,M/L/XL/XXL,green.jpeg,maa-applic-green1.jpeg,,,,Elegant green Punjabi with intricate appliqué work.
MAA-APPLIC,MAA-APPLIC-RED,Rajbari Royale Punjabi - Red,1999,M/L/XL/XXL,red.jpeg,maa-applic-red1.jpeg,,,,Elegant red Punjabi with intricate appliqué work.
MAA-APPLIC,MAA-APPLIC-WHT,Rajbari Royale Punjabi - White,1999,M/L/XL/XXL,white.jpeg,maa-applic-white1.jpeg,,,,Elegant white Punjabi with intricate appliqué work.
MAA-APPLIC,MAA-APPLIC-BEG,Rajbari Royale Punjabi - Beige,1999,M/L/XL/XXL,beige.jpeg,maa-applic-beige1.jpeg,,,,Elegant beiges Punjabi with intricate appliqué work.
pc-applic,pc-applic,Shwet Classic Punjabi,1499,M/L/XL/XXL,,pcshwet.jpeg,,,,Elegant cotton Punjabi with heritage thread work.
pcsidenawab,pcsidenawab,Sidework Nawab Punjabi,1599,M/L/XL/XXL,,pcsidenawab.jpeg,,,,Elegant cotton Punjabi with sideneck work design.
bicolour,bicolour-white,Two Tone Punjabi - White,1799,M/L/XL/XXL,white.jpeg,bicolour-white1.jpeg,,,,Elegant two-tone Punjabi with contrasting color design.
bicolour,bicolour-purple,Two Tone Punjabi - Purple,1799,M/L/XL/XXL,purple.jpeg,bicolour-purple1.jpeg,,,,Elegant two-tone Punjabi with contrasting color design.
bicolour,bicolour-mehndi,Two Tone Punjabi - Mehndi,1799,M/L/XL/XXL,mehndi.jpeg,bicolour-mehndi1.jpeg,,,,Elegant two-tone Punjabi with contrasting color design.
bicolour,bicolour-red,Two Tone Punjabi - Red,1799,M/L/XL/XXL,red.jpeg,bicolour-red1.jpeg,,,,Elegant two-tone Punjabi with contrasting color design.
bicolour,bicolour-blue,Two Tone Punjabi - Blue,1799,M/L/XL/XXL,blue.jpeg,bicolour-blue1.jpeg,,,,Elegant two-tone Punjabi with contrasting color design.
bicolour,bicolour-yellow,Two Tone Punjabi - Yellow,1799,M/L/XL/XXL,yellow.jpeg,bicolour-yellow1.jpeg,,,,Elegant two-tone Punjabi with contrasting color design.
chandratilak,chandratilak-black,Chandratilak Punjabi - Black,1899,M/L/XL/XXL,black.jpeg,chandratilak-black1.jpeg,,,,Elegant Punjabi with traditional embroidery and neck tassel.
chandratilak,chandratilak-white,Chandratilak Punjabi - White,1899,M/L/XL/XXL,white.jpeg,chandratilak-white1.jpeg,,,,Elegant Punjabi with traditional embroidery and neck tassel.
chandratilak,chandratilak-blue,Chandratilak Punjabi - Blue,1899,M/L/XL/XXL,blue.jpeg,chandratilak-blue1.jpeg,,,,Elegant Punjabi with traditional embroidery and neck tassel.
chandratilak,chandratilak-mehndi,Chandratilak Punjabi - Mehndi,1899,M/L/XL/XXL,mehndi.jpeg,chandratilak-mehndi1.jpeg,,,,Elegant Punjabi with traditional embroidery and neck tassel.
chandratilak,chandratilak-red,Chandratilak Punjabi - Red,1899,M/L/XL/XXL,red.jpeg,chandratilak-red1.jpeg,,,,Elegant Punjabi with traditional embroidery and neck tassel.
chandratilak,chandratilak-yellow,Chandratilak Punjabi - Yellow,1899,M/L/XL/XXL,yellow.jpeg,chandratilak-yellow1.jpeg,,,,Elegant Punjabi with traditional embroidery and neck tassel.
